text,ats_score,grammar_score,readability_score,overall_score
This is dummy resume feedback #963,8.68,17.6,10.03,12.1
This is dummy resume feedback #964,10.84,10.76,19.68,13.76
This is dummy resume feedback #965,9.33,13.58,17.85,13.59
This is dummy resume feedback #966,10.34,13.82,15.52,13.23
This is dummy resume feedback #967,15.79,7.77,15.91,13.16
This is dummy resume feedback #968,9.46,10.43,13.43,11.11
This is dummy resume feedback #969,13.5,10.02,19.21,14.24
This is dummy resume feedback #970,12.14,5.39,12.44,9.99
This is dummy resume feedback #971,14.96,5.36,10.71,10.34
This is dummy resume feedback #972,19.05,17.48,7.45,14.66
This is dummy resume feedback #973,15.99,9.1,16.79,13.96
This is dummy resume feedback #974,8.22,12.77,16.02,12.34
This is dummy resume feedback #975,5.47,9.48,10.77,8.57
This is dummy resume feedback #976,8.93,19.11,5.38,11.14
This is dummy resume feedback #977,13.93,8.89,17.58,13.47
This is dummy resume feedback #978,5.77,11.44,5.17,7.46
This is dummy resume feedback #979,12.45,18.09,15.56,15.37
This is dummy resume feedback #980,13.95,17.63,19.55,17.04
This is dummy resume feedback #981,10.01,7.79,11.56,9.79
This is dummy resume feedback #982,16.56,17.04,8.52,14.04
This is dummy resume feedback #983,6.6,11.87,15.57,11.35
This is dummy resume feedback #984,6.13,12.24,17.26,11.88
This is dummy resume feedback #985,15.92,7.0,13.2,12.04
This is dummy resume feedback #986,12.43,6.21,19.51,12.72
This is dummy resume feedback #987,15.33,15.92,5.78,12.34
This is dummy resume feedback #988,11.52,12.45,12.57,12.18
This is dummy resume feedback #989,8.7,11.55,15.78,12.01
This is dummy resume feedback #990,17.29,15.94,17.94,17.06
This is dummy resume feedback #991,16.99,16.48,7.69,13.72
This is dummy resume feedback #992,15.42,7.38,17.0,13.27
This is dummy resume feedback #993,9.08,14.15,13.29,12.17
This is dummy resume feedback #994,13.85,7.03,10.95,10.61
This is dummy resume feedback #995,10.41,16.27,6.98,11.22
This is dummy resume feedback #996,6.37,14.85,17.98,13.07
This is dummy resume feedback #997,18.76,19.35,7.36,15.16
This is dummy resume feedback #998,7.05,6.03,9.65,7.58
This is dummy resume feedback #999,19.25,5.86,9.35,11.49
This is dummy resume feedback #1000,11.69,9.23,18.07,13.0
